filename,tree_ids
2020-01-14-FB23-Bisamweg_Mäusering_2_Fichten.PDF,-
2020-01-14-Grünzug_Große_Sülze_Ahorn_Nr._637-2.PDF,-
2020-01-16-Osterweddinger_Chaussee-Nr.30-Pappel_1.PDF,-
"2020-01-17-Herrenkrugstraße,_Robinie,_ohne_Nummer.PDF",-
2020-01-17-Ottersleber_Weg-lfd.PDF,-
2020-01-17-Ottersleber_Weg-lfd_134-1.PDF,-
2020-02-24-GA0920_Herrenkrugstraße_SD_4_Bäume.PDF,-
2020-02-27-Nordpark_Ahorn_3035.PDF,G3035
2020-02-27-Nordpark_Ahorn_3074.PDF,G3074
2020-02-27-Nordpark_Ahorn_556.PDF,-
2020-02-27-Nordpark_Apfel_3068.PDF,G3068
2020-02-27-Nordpark_Blumenesche_3198.PDF,G3198
2020-02-27-Nordpark_Eibe_3060.PDF,G3060
2020-02-27-Nordpark_Eiche_3027.PDF,G3027
2020-02-27-Nordpark_Esche_3012.PDF,G3012
2020-02-27-Nordpark_Malus_3098.PDF,G3098
2020-02-27-Nordpark_Prunus_3526.PDF,G3526
2020-02-27-Nordpark_Prunus_582.PDF,-
2020-02-27-Nordpark_Prunus_padus_3084.PDF,G3084
2020-02-27-Nordpark_Robine_3135.PDF,G3135
2020-02-27-Nordpark_Robine_560.PDF,-
2020-02-27-Nordpark_Robinie_3029.PDF,G3029
2020-02-27-Nordpark_Robinie_3226.PDF,G3226
2020-02-27-Nordpark_Robinie_3228.PDF,G3228
2020-02-27-Sternsee_S15544_Robinia_ps.PDF,G15544
2020-02-27-Sternsee_S15551_Robinia_ps.PDF,G15551
2020-02-27-Sternsee_S15579_Robinia_ps.PDF,G15579
2020-03-09-FB23_Elbradweg_Baum_Nr_4746_L4746.PDF,L4746
2020-03-09-Herrenkrugpark_Bergahorn_G50104.PDF,G50104
2020-03-09-Herrenkrugpark_Bergahorn_G50395.PDF,G50395
2020-03-09-Herrenkrugpark_Bergahorn_G50803.PDF,G50803
2020-03-09-Herrenkrugpark_Birne_G51468.PDF,G51468
2020-03-09-Herrenkrugpark_Eiche_G50031.PDF,G50031
2020-03-09-Herrenkrugpark_Eiche_G51330.PDF,G51330
2020-03-09-Herrenkrugpark_Eiche_G51588.PDF,G51588
2020-03-09-Herrenkrugpark_Feldahorn_G51813.PDF,G51813
2020-03-09-Herrenkrugpark_Feldahorn_G51827.PDF,G51827
2020-03-09-Herrenkrugpark_Kirche_G50255.PDF,G50255
2020-03-09-Herrenkrugpark_Linde_G50800.PDF,G50800
2020-03-09-Herrenkrugpark_Linde_G51701.PDF,G51701
2020-03-09-Herrenkrugpark_Pyramideneiche_G50711.PDF,G50711
2020-03-09-Herrenkrugpark_Sandbirke_G50570.PDF,G50570
2020-03-09-Herrenkrugpark_Sandbirke_G50796.PDF,G50796
2020-03-09-Herrenkrugpark_Sandbirke__Nummer_96-1.PDF,-
2020-03-09-Herrenkrugpark_Schwarzkiefer_G50198.PDF,G50198
2020-03-09-Herrenkrugpark_Schwarzkiefer_G50381.PDF,G50381
2020-03-09-Herrenkrugpark_Spitzahorn_G50550.PDF,G50550
2020-03-09-Herrenkrugpark_Spitzahorn_G50597.PDF,G50597
2020-03-09-Nordpark_Ahorn_3550.PDF,G3550
2020-03-09-Nordpark_Prunus_3576.PDF,G3576
2020-03-09-Nordpark_Robine_3554.PDF,G3554
2020-03-09-Stadtpark_Kastanie_G40665.PDF,G40665
2020-03-09-Stadtpark_Kastanie_G40666.PDF,G40666
2020-03-09-Stadtpark_Ulme_G41320-_G41321.PDF,G41320|G41321
2020-03-09-Stadtpark_Ulme_G41320.PDF,G41320
2020-03-09-Welsleber_Straße-ohne-_Birke.PDF,-
2020-03-19-Herrenkrugstr_Bergahorn_G22530-22557-22561.PDF,G22530|G22557|G22561
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36136.PDF,S36136
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36146.PDF,S36146
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36161.PDF,S36161
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36162.PDF,S36162
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36168.PDF,S36168
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36175.PDF,S36175
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36190.PDF,S36190
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36191.PDF,S36191
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36192.PDF,S36192
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36193.PDF,S36193
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36194.PDF,S36194
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36195.PDF,S36195
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36197.PDF,S36197
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36202.PDF,S36202
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36203.PDF,S36203
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36204.PDF,S36204
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36206.PDF,S36206
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36210.PDF,S36210
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36212.PDF,S36212
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36227.PDF,S36227
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36245.PDF,S36245
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36289.PDF,S36289
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36322.PDF,S36322
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36323.PDF,S36323
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36324.PDF,S36324
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36328.PDF,S36328
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36333.PDF,S36333
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36358.PDF,S36358
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36359.PDF,S36359
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36360.PDF,S36360
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36361.PDF,S36361
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36379.PDF,S36379
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36425.PDF,S36425
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36431.PDF,S36431
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36460.PDF,S36460
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36461.PDF,S36461
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36469.PDF,S36469
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36472.PDF,S36472
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36568.PDF,S36568
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36704.PDF,S36704
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36715.PDF,S36715
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36734.PDF,S36734
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36740.PDF,S36740
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36760.PDF,S36760
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36768.PDF,S36768
2020-03-19-Magdeburger_Ring_Kirschweg_GA100_36776.PDF,S36776
2020-03-19-Sternsee_S15544_Robinia_ps_2.PDF,G15544
2020-03-19-Sternsee_S15551_Robinia_ps_2.PDF,G15551
2020-03-19-Sternsee_S15579_Robinia_ps_2.PDF,G15579
2020-03-19-Versuchsgarten_Fahlberg_List-Nr._180-Pappel.PDF,-
2020-03-19-Versuchsgarten_Fahlberg_List-Nr._181-Pappel.PDF,-
2020-04-15-Gübser_Weg_Birke_24542.PDF,S24542
2020-04-22-Herrenkrugpark_Schwedische_Mehlbeere_G51246_1.PDF,G51246
"2020-05-04-Arnold-Knoblauch-Straße,_Nr._13,17,18,24,_Birnen.PDF",-
2020-05-14-Kirschweg-S9152-Pappel.PDF,S9152
2020-05-14-Kirschweg-S9153-Pappel.PDF,S9153
2020-05-14-Kirschweg-S9171-Ahorn.PDF,S9171
2020-05-14-Kirschweg-S9186-Ahorn.PDF,S9186
2020-05-14-Kirschweg-lfd._Nr._61-3-Pappel.PDF,-
2020-05-25-Stadtpark_Eiche_G36395.PDF,G36394
2020-05-26-Heinrich-Mundlos-Ring_K849_Acer_ps.PDF,K849
2020-05-26-Victor-Jara-Straße_K0152_Acer_negundo.PDF,K152
2020-05-29-Alt_Benneckenbeck_Nr.23_Salix.PDF,-
2020-05-29-Auf_den_Höhen_SP_2-1_Picea.PDF,-
2020-06-12-Buschfeldstraße_GA0471_2_Stck_Edelkastanien.PDF,G1867
2020-06-12-Othrichstraße_GA0249_G2158_2159_Erlen.PDF,G2158|G2159|K261
2020-06-12-Salbker_Chaussee_S35372_Acer_neg.PDF,S35372
2020-06-17-Alt_Westerhüsen-S1822-Robinie_1.PDF,S1860
2020-06-17-Alt_Westerhüsen-S1862-Robinie.PDF,S1860
2020-06-17-Südring_Auffahrt_Sudenburger_Wuhne_Nr._37_Pappel.PDF,-
2020-06-18-Junkersberg_76-1_Tilia.PDF,-
2020-06-18-Junkersberg_G20541_Acer.PDF,G20541
2020-06-22-Nixeweg-Bergahorn-24_3.PDF,-
2020-06-23-Kirschweg-FortII-G2713-Esche.PDF,G7213
2020-06-23-Kirschweg-FortII-G2789-Ulme.PDF,G7289
2020-06-30-Markgrafenstraße_G22017-94_Ahorne_Scheinakazie_1.PDF,G22017|G3874|G3879|G22053
2020-06-30-Münchenhofstraße_S_30157_und__S_30158_Sorbus_aria.PDF,S30157|S30158
2020-07-06-FB23_Lieg._Ostrowski_str._Acer_campestre.PDF,-
2020-07-08-Am_Bördegaten_Linde__20415und20416.PDF,G20415|G20416
2020-07-10-Schönebecker_Str.-lfd._Nr._6-1-Götterbaum.PDF,-
2020-07-10-Ziolkowskistr._Escheahorn_G48011.PDF,G48011
2020-07-10-Ziolkowskistr._Spitzahorn_G48003.PDF,G48003
2020-07-13-Salbker_Chaussee_S35372_Acer_neg.PDF,S35372
2020-07-13-Westfriedhof_Diesdorfer_Graseweg_6_tote_Kiefern.PDF,F8336|F8343|F8345|F8347|F8349|F8352
2020-07-14-Agnetenstraße_Robinie_S_11248.PDF,S11248
2020-07-14-Calenberger_Straße_GA0857_SD_4_Stck_Zierbirnen.PDF,-
2020-07-14-Zum_Bahnhof-S2881-Birke.PDF,S2881
2020-07-15-Am_Brückbusch_Streuobstwiese_2_Äpfel_SD.PDF,-
2020-07-15-Greifenwerder_STBG_11_Bäume_SD.PDF,-
2020-08-03-Herrenkrugpark_Spitzahorn_G50177.PDF,G50177
2020-08-03-Herrenkrugpark_Spitzahorn_G50258.PDF,G50258
2020-08-03-Herrenkrugpark_Weißesche_G50373.PDF,G50373
2020-08-03-Klosterbergegarten_Robinie_S332-1.PDF,S3321
2020-08-03-Klosterbergegarten_Weide_S383-1.PDF,S3831
2020-08-03-Klosterbergegarten_Weide_S409-1.PDF,S4091
2020-08-03-LIEG_Boquet-_Graseweg_Birke_L1595-6.PDF,L15956
2020-08-03-Schroteweg-Rampe_Apfel_ohne_Baumnummer_15-1.PDF,-
"2020-08-03-Vogelgesang_Bergahorn_A703,710,723.PDF",A703|A710|A723
2020-08-03-Vogelgesang_Birken_A685-688_Sammellieste.PDF,A685|A686|A687|A688
"2020-08-03-Vogelgesang_Fichte_A806,807.PDF",A806|A807
2020-08-10-Harnackstraße_Linde_S_9867.PDF,S9867
2020-08-19-Westfriedhof_Rand_Feld_II_Toter_Ahorn.PDF,F5575
2020-08-19-Westfriedhof_Weg_zum_Einschlag_Robinie_gerissener_Zwiesel.PDF,F7776
2020-08-21-Mechthtildstr_Ebereschen_G4628-4640-4643.PDF,G4628|G4640|G4643
2020-08-21-Niendorfer_Straße_S17829_Crataegus_lav.PDF,S17829
2020-08-21-Walther-Rathenau-Straße__Robinie_Nr.PDF,-
2020-08-31-Alt_Fermersleben_Denkmalsplatz_K1241_Robinia_ps.PDF,K1241
2020-08-31-Stadtpark_Spitzahorn_G45091.PDF,G45091
2020-09-02-Fraunhoferplatz_G6354_Robinia.PDF,G6354
2020-09-02-Fraunhoferplatz_G6360_Robinia.PDF,G6360
2020-09-03-Kritzmannstraße_G20640_Acer_neg.PDF,G20640
2020-09-03-Radweg_Randau_Calenberge_11_Bäume_SD.PDF,G13200|G13317
2020-09-03-Robert-Mayer-Straße_Zierkirschen.PDF,-
2020-09-03-Schleinufer_-_Westseite_Mehlbeere_G2641.PDF,G2641
2020-09-03-Zipkeleber_See-G11479-Eiche.PDF,G11479
2020-09-03-Zipkeleber_See-G11496-Esche.PDF,G11496
2020-09-04-Wiener_Straße-G6549-Ahorn.PDF,G6549
2020-09-04-Wiener_Straße-G6602-Ahorn.PDF,G6602
2020-09-16-August-Bebel-Damm_67-5_Robinia.PDF,-
2020-09-16-August-Bebel-Damm_68-2_Salix.PDF,-
2020-09-16-August-Bebel-Damm_G31911_Salix.PDF,G31911
2020-09-28-Heideweg_Salvador_Allende_Straße__Pappel_G1917.PDF,G1917
2020-09-28-Heideweg_Salvador_Allende_Straße__Pappeln_G1903_und_G1904.PDF,G1903|G1904
2020-09-28-Olv._Graseweg_Pyramidenpappel_1-2.PDF,-
2020-09-28-Olv._Graseweg_Pyramidenpappel_1-4.PDF,-
2020-09-28-Olv._Graseweg_Pyramidenpappel_5-1.PDF,-
2020-09-28-Olv._Graseweg_Pyramidenpappel_7-2.PDF,-
2020-10-02-Hohendodeleber_Straße_G19613_Betula.PDF,G19613
2020-10-02-Hohendodeleber_Straße_G19626_Betula.PDF,G19626
2020-10-02-Hohendodeleber_Straße_G19633_Betula.PDF,G19633
2020-10-02-Hohendodeleber_Straße_G19792_Betula.PDF,G19792
2020-10-05-GA_Beimssiedlung_G21765_Platanus_1.PDF,G21765
2020-10-05-GA_Beimssiedlung_G21766_Platanus_1.PDF,G21766
2020-10-08-Am_Brückbusch_Weide_19695.PDF,G19695
"2020-10-08-Herrenkrugpark_Bergahorn_G50108,_G50391.PDF",G50108|G50391
"2020-10-08-Westfriedhof_Feld_IX,_Fällungen_IV._Quartal.PDF",-
2020-10-12-Diesdorfer_Graseweg_lfd._Nr.PDF,-
2020-10-12-Diesdorfer_Graseweg_lfd._Nr._26.PDF,-
2020-10-12-Diesdorfer_Graseweg_lfd._Nr._29-1.PDF,-
2020-10-12-Diesdorfer_Graseweg_lfd._Nr._360-1.PDF,-
2020-10-12-Diesdorfer_Graseweg_lfd._Nr_61.PDF,-
2020-10-15-Berliner_Chaussee_Bergahorn_S10559_1.PDF,S105591
