filename,tree_ids
"2021-07-27-Böckelmannscher_Park,_380_2,_unbekannt.pdf",-
"2021-07-27-Rothenseer_Straße,_S11308,_Robinie.pdf",S11308
"2021-07-27-SP_Alt_Fermersleben_Denkmalsplatz,_S1241,_Robinie.pdf",K1241
"2021-07-30-Maulbeerbaumweg,_G11350_und_G11356,_Zierpflaume.pdf",G11350|G11356
"2021-08-02-Salbker_Chaussee,_218-S0,_Pappel.pdf",-
"2021-08-02-Salbker_Chaussee,_219-S0,_Pappel.pdf",-
"2021-08-02-Salbker_Chaussee,_220-S0,_Pappel.pdf",-
"2021-08-02-Salbker_Chaussee,_222-S0,_Pappel.pdf",-
"2021-08-02-Salbker_Chaussee,_223-S0,_Pappel.pdf",-
"2021-08-02-Salbker_Chaussee,_224-S0,_Pappel.pdf",-
"2021-08-24-Scharnhorstring,_ohne_Nummer,_Spitzahorn.pdf",-
"2021-09-01-Schleinufer_Knochenhauerufer,_G2610,_Silberahorn.pdf",G2620
2021-09-15-Klusdamm_Straßenbegleitgrün_-_4_Birken.pdf,S28670|S12261|S12262|S12263
2021-09-27-Stadtpark_Abschnitt_13_-_2_Bäume.pdf,G45671|G42368
2021-09-27-Stadtpark_Abschnitt_4_-_6_Bäume.pdf,G38682|G38683|G39415|G39417|G39418|G39428
"2021-10-06-12_Bäume_Klein_Ottersleber_Friedhof,_Grabfeldbereich_östlich.pdf",-
2021-10-18-Magdeburger_Ring_Halberstädter_Str_6_Bäume.pdf,S28804|S28820|S28822|S28827|S28829|S28836
2021-10-19-Stadtpark_ABS_VII__3_Berg-_und_Spitzahorne.pdf,G40408|G40550|G40279
2021-11-09-Herrenkrugstraße_Grünanlage_479-3__Pappel.pdf,-
2021-11-09-Stadtpark_Abschnitt_3_Kastanie_ohne_Baumnummer.pdf,-
2021-11-23-Beimssiedlung_ÖG__G21674_bis_G21735_Pyramidenpappeln_6_Stck.pdf,G21674|G21681|G21716|G21717|G21721|G21735
2021-11-23-Beimsstraße__Pappelallee_K0666__K0667_Hainbuchen.pdf,K666|K667
2021-11-23-Mittagstraße_Westseite_S19630-_S19651_Ulmen_3_Stck.pdf,S19630|S19631|S19651
2021-11-23-Ottersleber_Weg_lfd._Nr_110-1_Kirsche.PDF,-
2021-11-23-Welsleber_Straße_S17305-_S17358_Zierbirnen_5_Stck.pdf,S17305|S17332|S17350|S17357|S17358
"2021-11-24-Fürstenwallstr._Mehlbeeren_G8649,8651,8652,8657.PDF",G8649|G8651|G8652|G8654|G8657
2021-11-24-Schleinufer_Westseite_Mehlbeeren_G2567-2569.pdf,G2567|G2568|G2569
"2021-11-29-Stadtpark_Abschnitt_11_Bergahorn_G41879,41880.pdf",G41879|G41880
2021-11-29-Stadtpark_Abschnitt_4_Eichen_ohne_G-_Nummern_4297-1-2.pdf,-
"2021-12-07-Herrenkrugpark,_1439_1,_Eibe.pdf",-
